parametri,Profitto Netto,totale
"{""perditaMassima"": 1.2000000000000004, ""vincitaMassima"": 2.000000000000001}",8652.600000000131,480
"{""perditaMassima"": 1.4000000000000004, ""vincitaMassima"": 2.3000000000000007}",8343.600000000031,434
"{""perditaMassima"": 1.2000000000000004, ""vincitaMassima"": 2.600000000000001}",8055.0000000001,438
"{""perditaMassima"": 1.2000000000000004, ""vincitaMassima"": 2.3000000000000007}",8004.000000000228,454
"{""perditaMassima"": 1.0000000000000002, ""vincitaMassima"": 2.600000000000001}",7911.599999999951,456
"{""perditaMassima"": 1.1000000000000003, ""vincitaMassima"": 2.3000000000000007}",7877.400000000153,464
"{""perditaMassima"": 1.3000000000000003, ""vincitaMassima"": 2.3000000000000007}",7867.199999999967,445
"{""perditaMassima"": 1.0000000000000002, ""vincitaMassima"": 2.3000000000000007}",7737.000000000085,478
"{""perditaMassima"": 1.1000000000000003, ""vincitaMassima"": 2.700000000000001}",7480.199999999975,441
"{""perditaMassima"": 0.7000000000000002, ""vincitaMassima"": 2.500000000000001}",7475.400000000114,497
"{""perditaMassima"": 1.0000000000000002, ""vincitaMassima"": 2.700000000000001}",7468.79999999991,447
"{""perditaMassima"": 1.0000000000000002, ""vincitaMassima"": 2.200000000000001}",7429.1999999998925,486
"{""perditaMassima"": 1.1000000000000003, ""vincitaMassima"": 2.200000000000001}",7378.199999999954,473
"{""perditaMassima"": 1.4000000000000004, ""vincitaMassima"": 2.200000000000001}",7371.599999999834,444
"{""perditaMassima"": 1.2000000000000004, ""vincitaMassima"": 2.200000000000001}",7350.00000000003,464
"{""perditaMassima"": 0.8000000000000003, ""vincitaMassima"": 2.500000000000001}",7253.999999999854,489
"{""perditaMassima"": 1.3000000000000003, ""vincitaMassima"": 2.200000000000001}",7177.199999999769,452
"{""perditaMassima"": 1.2000000000000004, ""vincitaMassima"": 2.700000000000001}",7158.000000000055,430
"{""perditaMassima"": 1.7000000000000004, ""vincitaMassima"": 2.600000000000001}",6931.200000000042,297
"{""perditaMassima"": 0.9000000000000001, ""vincitaMassima"": 2.500000000000001}",6856.19999999991,469
"{""perditaMassima"": 0.7000000000000002, ""vincitaMassima"": 2.800000000000001}",6841.200000000174,462
"{""perditaMassima"": 1.2000000000000004, ""vincitaMassima"": 2.1000000000000005}",6834.600000000046,366
"{""perditaMassima"": 1.3000000000000003, ""vincitaMassima"": 2.000000000000001}",6813.599999999892,358
"{""perditaMassima"": 0.7000000000000002, ""vincitaMassima"": 2.9000000000000012}",6802.800000000137,455
"{""perditaMassima"": 1.3000000000000003, ""vincitaMassima"": 2.1000000000000005}",6791.399999999854,353
"{""perditaMassima"": 0.6000000000000001, ""vincitaMassima"": 2.600000000000001}",6779.400000000027,492
"{""perditaMassima"": 0.6000000000000001, ""vincitaMassima"": 2.9000000000000012}",6714.000000000065,466
"{""perditaMassima"": 0.8000000000000003, ""vincitaMassima"": 2.800000000000001}",6681.599999999919,461
"{""perditaMassima"": 0.7000000000000002, ""vincitaMassima"": 2.700000000000001}",6672.000000000047,469
"{""perditaMassima"": 0.8000000000000003, ""vincitaMassima"": 2.9000000000000012}",6665.999999999877,457
"{""perditaMassima"": 0.6000000000000001, ""vincitaMassima"": 2.800000000000001}",6646.200000000102,470
"{""perditaMassima"": 1.5000000000000004, ""vincitaMassima"": 2.3000000000000007}",6627.600000000078,372
"{""perditaMassima"": 0.7000000000000002, ""vincitaMassima"": 2.600000000000001}",6594.600000000077,472
"{""perditaMassima"": 0.7000000000000002, ""vincitaMassima"": 2.200000000000001}",6550.200000000028,522
"{""perditaMassima"": 0.7000000000000002, ""vincitaMassima"": 2.400000000000001}",6526.2000000001335,485
"{""perditaMassima"": 0.8000000000000003, ""vincitaMassima"": 2.400000000000001}",6422.999999999886,473
"{""perditaMassima"": 0.4000000000000001, ""vincitaMassima"": 2.700000000000001}",6406.799999999868,521
"{""perditaMassima"": 1.5000000000000004, ""vincitaMassima"": 2.600000000000001}",6374.3999999999605,312
"{""perditaMassima"": 0.8000000000000003, ""vincitaMassima"": 2.600000000000001}",6347.399999999829,466
"{""perditaMassima"": 0.5000000000000001, ""vincitaMassima"": 2.500000000000001}",6335.999999999984,521
"{""perditaMassima"": 0.9000000000000001, ""vincitaMassima"": 2.700000000000001}",6311.999999999853,448
"{""perditaMassima"": 1.5000000000000004, ""vincitaMassima"": 2.200000000000001}",6309.5999999998885,418
"{""perditaMassima"": 0.4000000000000001, ""vincitaMassima"": 2.600000000000001}",6296.999999999899,529
"{""perditaMassima"": 0.30000000000000004, ""vincitaMassima"": 2.400000000000001}",6267.599999999882,550
"{""perditaMassima"": 1.2000000000000004, ""vincitaMassima"": 1.9000000000000006}",6257.400000000114,375
"{""perditaMassima"": 1.4000000000000004, ""vincitaMassima"": 2.000000000000001}",6249.5999999999385,354
"{""perditaMassima"": 1.8000000000000005, ""vincitaMassima"": 2.600000000000001}",6217.199999999882,282
"{""perditaMassima"": 0.7000000000000002, ""vincitaMassima"": 2.3000000000000007}",6215.400000000183,499
"{""perditaMassima"": 0.30000000000000004, ""vincitaMassima"": 2.700000000000001}",6215.399999999808,531
"{""perditaMassima"": 1.5000000000000004, ""vincitaMassima"": 2.400000000000001}",6209.40000000003,317
"{""perditaMassima"": 1.4000000000000004, ""vincitaMassima"": 2.600000000000001}",6203.999999999911,338
"{""perditaMassima"": 1.4000000000000004, ""vincitaMassima"": 2.1000000000000005}",6197.399999999902,349
"{""perditaMassima"": 0.9000000000000001, ""vincitaMassima"": 2.400000000000001}",6172.199999999957,421
"{""perditaMassima"": 0.4000000000000001, ""vincitaMassima"": 2.800000000000001}",6170.399999999971,514
